,poi_id,poi_name,visit_count,hcode,hname1,hname2,hname3,cate_id,fullpath,catename,catetype,apicatename,adultflag,landmarkyn,name1,name2,name3,name4,name5,time_list,scores,reviews,categories,coord
1838,2068929425,달콤왕가탕후루,87,1120057000,서울특별시,성동구,행당2동,46.0,음식점>간식,간식,C,음식점,N,N,음식점,간식,,,,"[{""periodName"":""영업기간"",""periodEtc"":null,""timeList"":[{""timeName"":""영업시간"",""timeSE"":""12:00 ~ 22:00"",""dayOfWeek"":""매일"",""timeEtc"":null}]}]","[5, 5, 4, 1]","정말 맛있습니다. 또 방문하겠읍니다.,가성비 짱짱!!! 우리동네 맛집입니다^^매일 가고 싶네요 ^^,귤탕후루, 체리탕후루 중 귤탕후루가 맛있었당!,딸기탕후루 무슨 일입니까 진짜 ㅋㅋ이렇게 파실거면 가격을 내려야죠. 장난하십니까.딸기가 미니어쳐 수준  블루베리 크기만해요.너무나도 실망스럽습니다.","['음식점', '간식']","['37.5735317831545', '126.989597985835']"
1839,1649765943,랜디스도넛,145,1144071000,서울특별시,마포구,연남동,791.0,음식점>간식>도넛,도넛,C,음식점,N,N,음식점,간식,도넛,,,"[{""periodName"":""영업기간"",""periodEtc"":null,""timeList"":[{""timeName"":""영업시간"",""timeSE"":""11:00 ~ 22:00"",""dayOfWeek"":""매일"",""timeEtc"":null}]}]","[2, 3, 3, 2, 5, 5, 3, 5, 3, 5, 3]","맛이 없는 것보다 더 별로인건 맛이 변하는거 같아요. 오픈 했을 때부터 꾸준히 한 번씩 먹어 왔는데 확실히 맛이 변했습니다. 밀가루를 저급으로 바꾼건지 발효를 제대로 안 하는건지 아님 걍 전체적으로 관리가 안 되는 건지 도넛에서 밀가루 맛이 많이 나고, 원래는 버터여야 하는 크론디 사이 정체모를 기름도 고소한 맛은 전혀 없고 입에 엉겨붙어 남아요. 지나 가면서 보면 먹고싶어 지는데 먹고 나면 후회되는 맛.,맛있는 랜디스 도넛 맛있는거 다 아시죠? 근데 음료가 넘비쌈,친절한 도너츠집입니다,친구가 맛있게 먹은 도넛이라고 데려갔는데, 딸기잼 들어간 도넛 먹자마자 ”던킨도너츠!!“ 라고 외쳤네요…. 다 특별히 맛있다는 느낌 없고, 그냥 먹을만한 정도. 전 다른 도넛 브랜드들이 더 낫네요 ㅠㅠ친구도 오랜만에 먹은 건데 도우가 바뀐거 같다고 예전보다 맛없어졌다고 하더라구요. 그리고 다른분들 후기 처럼, 제 뒤에 한팀 있고 들어가자 마자 대뜸 몇개 구매하시냐고 물어보는데, 아직 쇼케이스에 어떤 도넛이 있는지 보지도 못했는데..고객한테 조금의 여유는 주면 좋을 거 같네요.,,애플프리터 진짜 맛있고 커요스프링어니언도 독특하고 맛있어요아몬드 브리틀도 최고였습니다,빵 자체는 괜찮은 것 같은데.. 너무 달아요 진짜 너무과도하게 달아요.. 재방문 x,반죽이 쫄깃쫄깃해요,크리스피크림 승..,버터 크럼 마쉿다아아!!!!!!!!!!!제주에서 먹고 그리워서 연남점 찾아감주말 점심인디 웨이팅 아예 없고, 도넛 종류 다있음가루 흘림 많다고 설명도 다 해주시고 친절하심!,평범한 도넛 맛..! 늦게가면 종류 없음","['음식점', '간식', '도넛']","['37.562021063917', '126.924121920119']"
1840,802213706,올드페리도넛,75,1117068500,서울특별시,용산구,한남동,791.0,음식점>간식>도넛,도넛,C,음식점,N,N,음식점,간식,도넛,,,"[{""periodName"":""영업기간"",""periodEtc"":null,""timeList"":[{""timeName"":""영업시간"",""timeSE"":""11:00 ~ 20:00"",""dayOfWeek"":""매일"",""timeEtc"":null}]}]","[3, 1, 5, 4, 5, 5, 5, 5, 4, 5, 4, 4, 1, 5, 4, 5, 5]","조금 헤비할 수 있지만 맛있는 도넛,테이크아웃만 가능해서 가져왔는데 집에서 열어보니 주문 잘못 들어갔어요. 일하시는 분이 서투르다 느껴졌는데 역시나 실수가 있네요... 피스타치오 먹고 싶었는데ㅎㅎㅎ,피스타치오 도넛 먹고 더위나 기다림 사르르 풀림. 세상에 이런맛이..,굳,가격은 좀 나가지만 피스타치오 너무 맛있네요크림브륄레는 달걀 맛은 많이 났지만두 개를 같이 먹어서 그런가 심심한 맛이었어요피스타치오 도넛 먹으러 갈 것같아요!,버터 피스타치오, 크림 브륄레 모두 쭉쭉 들어가는 존맛입니다피넛버터는 좀 많이 딮해서 한입이 적당하고, 보스턴크림은 맛있어요,대 존 맛당뇨환자가 먹으면 먹다가 숨질맛건강이랑 밀당하는 아찔한 맛 맛있다,,피넛버터 먹었는데 가격에 맞게 크기도 크네요~ 근데 엄청 달아서 이 썩는 맛입니다 ㅎ,너무맛있음매일먹고싶어요,,입구찾아 삼만리.주차는 할 곳 몇 없지만 불가능은 아님. 직원들 친절, 올드페리답게 비싸지만 맛있음.한남동 너무 불편한 골목 ㅠ....,달고 피스타치오가 느껴지지 않았다. 뇌가 녹을 것 같은 단맛을 원하는 사람에게 추천..,존맛.. 쫄깃해서 맛있음,요새도 긍런가!! 줄서서 기다리는 대기가 길구(거의 놀이기구 기다리는급..) 품절인 도넛이 넘많웅ㅁ..,올드페리도넛아! 좋아해 🍩,가득가득 들어있는 피넛버터당과다로 심장에 무리가올수있음피넛버터가 골고루 배포가 안됭ㆍ있어요 ㅠㅠ하지만 나올때 추가주문함","['음식점', '간식', '도넛']","['37.5395997372027', '127.003009774096']"
1842,17004790,구름떡,138,1165062100,서울특별시,서초구,방배4동,1010.0,"음식점>간식>떡,한과","떡,한과",C,음식점,N,N,음식점,간식,"떡,한과",,,"[{""periodName"":""영업기간"",""periodEtc"":null,""timeList"":[{""timeName"":""영업시간"",""timeSE"":""08:00 ~ 23:00"",""dayOfWeek"":""월~토"",""timeEtc"":null},{""timeName"":""영업시간"",""timeSE"":""09:00 ~ 23:00"",""dayOfWeek"":""일"",""timeEtc"":null}]}]","[5, 5, 5, 4, 5, 5, 5, 4, 3, 2, 5, 5, 5, 5, 5, 4]","흑임자떡 정말 맛있어요,흑임자떡 도랏음 그냥 재질미침… ㅜㅜ내가 태어나서 먹은 떡중에 제일 맛있음ㅜ힝 차가 없아사 자주 못가는게 넘 아쉬울 따름 ㅠ 이건 진짜 많은 사람들이 먹어봐야함 매장에 가면 떡 딱 두종류 파는데 방배동 그 비싼땅에서 딱 두종류만 판다는건 정말 자신있다는 거임 그리고 유사 상표주의라고 붙였는데 따라하는 떡집이 많다는 것도 이유가 있는것 ^^,흑임자인절미 맛있어요.,흑임자(검은깨)인절미_맛있어요…먹기 좋은 크기로 썰어져 있어 자르지 않아도 됩니다..맛있게 먹었어요,,집이랑 거리가 있어서 집근처 떡집 흑임자인절미 찾아 삼만리 하다가 결국 다시 요기로 돌아왔어요흑임자인절미는 제 입맛에 이곳이 원탑 👍🏽,가격은흑임자인절미 올랐지만 맛있고글네요,가격대비는 좀 부담스럽지만 맛있는 떡,맛이 좀 변했어요.  맛은 있는데 예전만큼 가격대비 큰감동을 주지못하네요,내 입맛엔 넘 달다....ㅡㅡ.. 달아도 넘 달다...,너무 좋아하는곳! 쌀쌀해지니까 더 자주 생각나요~,흑임자 인절미 최고. 구름떡은 어른들이 좋아하시는 집이라 선물해도 다들 좋아하셔서 좋음,선물용으로 굿,흑임자 인절미 사랑해요,평생 흑임자 인절미만 먹으래도 먹을 것 같아요. 슴슴하고 건강한 맛은 아니고 단짠으로 자극하는 맛입니다. 바로 그 점이 최고인 것..,흑임자 인절미 또 먹고싶다..","['음식점', '간식', '떡', '한과']","['37.49162807551667', '126.98958560850245']"
1843,18310200,백년화편,100,1174066000,서울특별시,강동구,성내3동,1010.0,"음식점>간식>떡,한과","떡,한과",C,음식점,N,N,음식점,간식,"떡,한과",,,"[{""periodName"":""영업기간"",""periodEtc"":null,""timeList"":[{""timeName"":""영업시간"",""timeSE"":""08:00 ~ 19:00"",""dayOfWeek"":""매일"",""timeEtc"":""온라인매장 : 24시운영""}]}]","[5, 5, 4, 5, 5, 3, 2, 5, 4, 3, 5, 5, 5, 5, 2, 1, 5, 5, 4, 5, 4, 5]","밥알떡 너무 맛나요,맛있어요 밥알 찹살떡 최고예요~~~,매장에서 먹을순없고 매장에서 구매만되요. 선물용으로 좋습니다.,시간 칼같이 맞춰 도착했어요, 구색이 너무 좋네요! 누구에게나 추천 가능한 떡집이네요,,Meal Substitute,떡은 맛있다. 하지만 친지들을 위한 명절 선물로는 글쎄.. 택배예약 주문량이 많아서 그런지 배송접수부터 상당히 많은 인적 오류(실수)가 발생했다. 집근처라 직접 가서 사오는 정도는 정도는 추천하나 대규모 발송의 경우에는 괜히 지인들에게 선물하려다가 안 하느니만 못하는 경우가 생길 수 있다. 그리고 가능하면  비싸도 1단보단 2단 선물세트를 사야하는데, 생각보다 떡이 얇아서 받는 사람으로 하여금 빈정을 살 수 있기 때문이다. 아쉽게도 대량 주문해도 택배비가 건별로 발생하고, 변질예방을 위한 별도 스티로폼 포장도 추가금을 내야한다. 떡 가격만 보면 안된다.대목에 최대치로 이윤을 남기기 위한 서비스에 대한 개선이 필요하다.,환궁하자마자 중전에게 선물하니 크게 기뻐하였습니다. 명인이 만드는 대한민국 5대떡집이라고 엄청 좋아하였으며 궐내 모든 사람들이 맛있게 먹었습니다. 아침일찍 열고, 접근성 좋은곳이라고 했더니 벌써 등떠밀며 냉큼 다녀오라고 합니다. 과인도 한조각 얻어먹긴 하였사온데, 옛날 할머니께서 해주신 맛이라 감개무량하였답니다♡ 카운터에 계신분이 친절하시더군요. 감사합니다~,예단떡하고 이사떡으로 밥알찹쌀떡 같이 했어요. 퀵으로 뜨끈뜨끈한거 잘 받았어요. 달지않고 맛있는 떡이네요.,맛있는데.. 이정도 가격에 이퀄이면...,좋아용,가끔 출출하고 떡 생각 날때 직접 방문해서 사다 먹었는데 넘 맞있어요,넘넘 맛있어요 > <~,밥알떡 앉은자리에서 열개도 먹겠음ㅠㅠㅠㅠ,강동 33년 살면서 처음들어봄.다 좋지만 너무 비쌈지금 값보다 30%는 인하 되어야 함.성내동은 터가 기가 약해 안좋고 저저대 침수 우려가 있어 이전하면 더 흥업할 것이요,본인들이 배송 실수 해서 날짜 못맞춘다고 연락 와서 해결해달라니까 그냥 내일 가게 오늘 보내준다가 끝 ㅋㅋ손님이 날짜 정해서 보내달라 하는거 자체가 다들 날짜가 중요해서라는 생각을 안하나보죠?아닌 사람들도 있겠지만 기본적으로 날짜 중요한 손님들이라는 생각을 해야 맞는건데 ""앗 실수로 못보냈네요~ 오늘 보내드리고 내일 도착으로 할게요~ 이거 말고는 방법이 없어요~ 원칙대로만 해서 저희는 다른 방법 안합니다~"" 가 끝인 엄청난 무책임의 끝 ㅋ 원칙대로 한다는 곳에서 왜 배달은 원칙대로 안해서 실수하세요? 실수를 해서 잘못을 했으면 손님 요청을 들어줘야죠 다른것도 아니고 잘못했으니까 따로 고속버스 이용해서 보내달라니까 죄송하단 말도 없고 그냥 아 그렇게 안합니다~ 가 무슨 말본새인지 ㅋㅋ몇년째 명절때마다 이용했었는데 잘못 대응이 이따구일줄이야 ^^,선물하고 저도 먹었는데 달지도 않고 넘 맛나여~~,찹쌀떡 낱개로 달지않고 맛있어요 하나씩 포장되어있어 아침에 먹기 간편하네요 응대하시는분도 친절하셔서 또 가려구요,쑥향기가 정말 좋고 따뜻할때 먹으면 좋아요.팥도 달지않아요~,정말 맛있습니다. 냉동 보관 해서 하나식 꺼내 먹어도 맛 그대로입니다. 종류 다 맛있습니다. 팥소는 많이 달지않고 좋아요. So so good. Highly recommend. Not too sweet. Love all the varieties they offer. Kind of out of the way but worth the trek.,밥알쑥떡 달지않고 맛있어요~!!,너무달지않고 맛있음요.","['음식점', '간식', '떡', '한과']","['37.5232515505377', '127.13251425245822']"
1844,11426596,도수향,52,1168054500,서울특별시,강남구,압구정동,1010.0,"음식점>간식>떡,한과","떡,한과",C,음식점,N,N,음식점,간식,"떡,한과",,,"[{""periodName"":""영업기간"",""periodEtc"":null,""timeList"":[{""timeName"":""영업시간"",""timeSE"":""08:30 ~ 18:00"",""dayOfWeek"":""월~금"",""timeEtc"":null},{""timeName"":""영업시간"",""timeSE"":""08:30 ~ 17:00"",""dayOfWeek"":""토"",""timeEtc"":null}]}]","[5, 4, 4, 5, 4, 5, 1, 4, 4, 5, 5, 5, 1]","선물용으로 자주 애용합니다~ 맛은 있는데 양에 비해 조금 비싼 편이에요!,예약은 기본적으로 해야해요. 예약없이 (小)자 1개는 구입 할 수 있어요. 골목 안에 있어 찾기가 쉽진 않습니다. 명절전에는 전화통화가 매우 어렵습니다.,맛있는데 너무 비싸요 ㅠㅠ,,가격빼고 다 좋은...,떡이 너무달지않고  팥고물이 넉넉히 있어 맛있게 먹었어요.남편회사  22주년 기념떡으로 받았는데잘먹었어요,전화 예약 하려는데 너무 불친절하게 받으시네요. 주어 목적어 다 잘라 말하시고선 못 알아들으니 말귀 못알아 듣는 사람 취급하며 짜증내면서 말하고저번에 누가 사와서 맛도 봐밨는데 저 금액 내고 먹을 만하지도 않은거 같고.. 전반적으로 별로에요,가성비는 사실 많이 안좋긴 한데 떡이 슴슴하니 맛있었어요,친척분들이 너무 좋아하셨고 많이 안달고 담백하니 맛있어요! 그런데 별 한개 뺀 이유는 양에 비해 가격이 좀 비싸서요 ㅠㅠㅎ 그래도 다음에 또 재구매 의사 있습니다,평일 점심에 다녀왔어요.예약은 안했고 근처 지나가는길이라 생각나서 들러서예약은 안했는데 혹시 구매 가능한가요? 여쭸더니 별다른 말씀없이 네~ 하시고는 주방 들어가셔서 가져다주셨어요!나이 지긋하신 분께서 응대해주셨고 조금 무뚝뚝하시다는 인상은 받았지만 기분이 나쁜 부분은 전혀 없었어요~개개인이 느끼는 감정이 전부 다를테니 참고만 하심 될것 같아요😃,지인이 자주 sns에 올려서 알게됐어요!사장님의 말투가 조금 딱딱하고 억양이 쎈 것 뿐이지 불친절하지 않아요!처음 들어가자마자 예약했냐고 확인하셨지만 다행이도 전 오전 중으로 가서 예약없이 구매할 수 있었어요.선물용으로 구매한 건데 맛보기 떡 챙겨주셔서 먹어봤구요. 전 너무 부드럽고 쫀득하고 담백하니 맛있었습니다😆선물용으로 너무 좋아용!,너무 친절하셨는데 저는 곤란한 상황인데 먼저 도움도 주셨어요떡도 너무 맛있어요,결제하고 카드를 던져서 주는건 개념없이 무례하지않았나 싶음손님을 왕대우 해달라는게 아니고 기본적인 상대방에대한 “예의”정도는 있어야지.. 아주머니…","['음식점', '간식', '떡', '한과']","['37.5271777178755', '127.038464415789']"
1845,8746906,압구정공주떡,84,1168051000,서울특별시,강남구,신사동,1010.0,"음식점>간식>떡,한과","떡,한과",C,음식점,N,N,음식점,간식,"떡,한과",,,"[{""periodName"":""영업기간"",""periodEtc"":null,""timeList"":[{""timeName"":""영업시간"",""timeSE"":""00:00 ~ 24:00"",""dayOfWeek"":""매일"",""timeEtc"":null}]}]","[4, 5, 4, 5, 5, 5, 5, 5, 5]","흑임자 너무 맛있어요,흑임자 좋아한다면 무조건 입니다ㅠ,,,흑임자인절미 진짜맛있어요 새벽에가서 구매하면 먹을수있음,서울근교 맛있는떡집 베스트 탑파이브,직원분들이 불친절하다는 평이 많아서각오하고 간 압구정 공주떡집입니다.평일 오전에 가니 떡종류도 많고 한산했어요~그리고 걱정이 무색하게도 직원분들 너무 친절하셔서 기분이 좋았습니다ㅎㅎ지인이 두텁떡이 맛있다고 해서 얼른 집어왔어요!두텁떡 가격은 제가 알던 가격보다 좀 더 오른 듯 해요~잘 먹겠습니다😊😊,참새 방앗간처럼 여기 지나가면서 흑임자떡 안먹으면 손해보는 기분…,여긴 갈 때마다 45000원짜리 가장 큰 흑임자 떡 ㅋㅋ 두 개 사가지고 낑낑거리면서 집 옴. 존맛ㅋ","['음식점', '간식', '떡', '한과']","['37.52356596669052', '127.02746679415719']"
1847,8891210,대흥떡집,26,1129070500,서울특별시,성북구,종암동,1010.0,"음식점>간식>떡,한과","떡,한과",C,음식점,N,N,음식점,간식,"떡,한과",,,[],"[5, 4, 5, 3, 5]","떡이 너무 달지도 않고 깔끔하게 맛있어요,,식혜찐맛집,맛은 있는데… 너무 비싸요 이게 3천원이라니..,약과 맛집으로 알았다가 이제는 완전히 정착해 버린 떡집","['음식점', '간식', '떡', '한과']","['37.6020196477279', '127.033257459668']"
1848,900538186,젠제로,122,1168059000,서울특별시,강남구,삼성2동,267.0,음식점>간식>아이스크림,아이스크림,C,음식점,N,N,음식점,간식,아이스크림,,,"[{""periodName"":""영업기간"",""periodEtc"":null,""timeList"":[{""timeName"":""영업시간"",""timeSE"":""12:00 ~ 22:00"",""dayOfWeek"":""매일"",""timeEtc"":null}]}]","[5, 5, 4, 5, 4, 5, 4, 5, 5, 5, 5, 5, 4]","주차 못하는 곳이라 불편하지만, 넘나 맛있음. 쫀득 꾸떡한 느낌(식감?)은 덜하지만 그냥 맛남.,,비싸다, 그러나 그만한 가치가 있다.,너무 맛있음 ㅜㅜㅜㅜ🫶🏻,맛있고 비싸고 맛있다.. 감태 캬라멜은 고급스런 달고나와 김맛전병 사이 어딘가. 다시 먹지는 않을 것 같다. 리조가 진짜 맛있었다. 다음엔 리조랑 다른 맛 먹어볼 예정,이렇게까지 거를 타선이 없을 수가☆호두흑곶감☆유자타르트방아밤꿀과고르곤졸라초당옥수수☆감태카라멜체리쥬빌레브론테피스타치오,,맛있음,특이한 맛이 있어서 좋아요 맛있었어요,맛있어요 어디에서 맛보기 힘든 젤라또입니다,츄베릅,제철 재료를 사용! 계절마다 올 수 밖에 없는 곳. 다만 주차가 안되며 동네 특성상 주차 단속도 실시간으로 타이트하니 주의하시길!,맛있어요 ㅎㅎ 근데 한국에서 먹는 젤라또가 꾸덕함이 부족한 건 어쩔 수 없나봐요","['음식점', '간식', '아이스크림']","['37.5152792229316', '127.04324523621']"
1849,9625635,효자베이커리,37,1111051500,서울특별시,종로구,청운효자동,695.0,"음식점>간식>제과,베이커리","제과,베이커리",C,음식점,N,N,음식점,간식,"제과,베이커리",,,"[{""periodName"":""영업기간"",""periodEtc"":null,""timeList"":[{""timeName"":""영업시간"",""timeSE"":""07:30 ~ 24:00"",""dayOfWeek"":""화~일"",""timeEtc"":null}]}]","[5, 4, 3, 2, 3, 5, 5, 1, 5, 5, 4, 5, 5, 4, 2, 3, 3, 2, 5, 3]","헐 빵 사온 거 다 맛있어요 콘브레드는 뜨겁다고 다른 봉지에 따로 담아주고 보관방법도 알려주셨어요 상대적으로 젊으신 분이었는데 친절하다고 느꼈음,빵만 놓고보면 수준급.접객방식은 호불호 있겠다 싶음,23.06.15콘브레드 7,000원 / 어니언크림치즈 6,000원맛은 있는데 인테리어 좀 새로 하셔야할듯 해요.매장에서 오래된 퀘퀘한 냄새가 나고, 좁고 동선도 불편합니다. 말을 길게하다보면 사장님이 손님과 기싸움하려는 느낌이 있어요. 아래 후기보니까 저만 느낀건 아닌듯 합니다.빵이 저렴한 편은 아닌데 (특히 어니언크림치즈.. 한봉지에 3개 들었음) 매장도 오래됐고 왜 인테리어를 안하시는지 모르겠네용.한번 먹어본 것으로 만족,무지개 롤…,양파 콘 브레드? 소소,동생이 콘브레드 꼭 사야한대서 갔는데 옛날양과자 먹고 반했어요 물론 둘 다 맛있지만 옛날양과자 진짜 미쳤어요 고소하고 달콤하며 적당히 바삭한 최고의 디저트..! 산미 있는 아메리카노랑 같이 먹으니까 밸런스가 좋았습니다!,,다신 재방문 하지 않을 가게빵을 구매하려고 들다가 비닐이 찢어지면서 떨어진 빵을 그대로 비닐에 담아주시길래 털어주실 수 있냐 어떻게 그걸 그냥 담으시냐라고 말하니 두루마리 휴지로 빵을 벅벅 닦아주십니다.. 충격 먹고 비위 상해서 안 산다고 하니 저희한테 사지 말라고 안 판다고 적반하장 화내시는데 뭐가 그렇게 당당하신지 모르겠네요 ㅋㅋㅋㅋㅋ 본인이 드실 음식도 그렇게 휴지로 벅벅 닦아서 드시는건지... 그리고 그모습을 보고 화내는 저희를 이상한 사람인 양 취급하셨는데 저희가 이상한 게 아니라 음식 장사하는데 위생관념이 없는 사장님이 이상한겁니다. 다른 소비자였어도 똑같이 아니 더하게 비난했을 일입니다. 빵이 떨어진 이유도 비닐을 쎄게 들어서 찢어진 거라고 하셨는데 세상에 어떤 비닐이 쎄게 든다고 찢어지며 비닐을 쎄게 든다는 게 무슨 억지인가요ㅋㅋㅋ 손님 응대, 위생 최악입니다.,콘브레드 또 먹고 싶다.,맛은 개개인의 입맛 차이.콘 브래드는 맛있었음소금빵은 보통저희 딸이 고른 카스테라는 본인 인생 11년동안 먹어본 카스테라중 최고라고함.,친절하다! 가끔 빵을 사비스로 더 끼워주신다. 다만 빵 종류가 제한적이고 개성이 강해서 호불호는 갈릴 것 같다.,갈때마다 콘브레드 두 봉지 쟁이는 곳. 규모는 다르지만 맛 + 가성비에서는 서촌의 성심당이라고 혼자 생각합니다 ㅎ,효자동 근본 베이커리,,,서촌에서,, 빵 쟁여오는 행복,, 행복은,,, 어디에나 있는 것,,, ^^  @azossii,,올드한 맛의 빵집. 재방문 의사 없음.,꽤 오래전 바로 근처에서 일할 때 퇴근길에 한 번씩 들리던 빵집이라 진짜 오랜만에 가봤어요~!!요즘 물가 상승으로 빵값이 많이 오른편이더라구요!콘브레드는 괜찮은데 다른 건 솔직히 모르겠어용그 때도 손이 안가고 이번에도 손이 안감 ㅋㅋㅋ그렇게 친절하지도 않구요. 친절과 불친절의 사이?ㅋㅋㅋ괜히 부모님 모시고 갔나 싶어서.. 이젠 안 가려고요~지나가는 길이라면 가는데 굳이 이것 때문에 통인시장 근처까지 올 필요는?.. 빠이~!!그리고 적게 사서 그런지 기분 안 좋다? 이런 느낌 팍팍..여기보다 근처 스코프가 제 스탈~,근처가면 콘브레드 꼭사죠근데이거먹으려고 이동네까진 안감 .,가격이 넘 올랐네요...,소금빵드뎌겟했어용센베랑초코파이랑소금빵이랑콘브래드맛잇어용사장님 목소리꿀보이스에용 리액션좋다고 어떤빵도 주셨어용헤헷 남양주에 사는데 2주에 한번씩 방문합니당,불친절. 근처 살아서 달에 두세 번씩은 방문해서 좋아하는 빵 위주로 사는 편입니다. 얼굴을 익힐 만큼 자주 가진 아니지만, 그렇다고 단골이 아니라고 말할 만큼도 아닌데.. 가끔 한 두개, 빵 적게 산 날은 계산하며 눈치 보일 정도로 응대가… 기분나빠요 ㅋ 말도 딴엔 오지랖 부린다고 친한 척 하는 것 같긴 한데 듣기엔 x가지 없게 느껴지고. 그래도 뭐, 와이프가 빵맛을 좋아하니 계속 다니긴 하는데 별점 높게 주고 싶은 생각은 없습니다 ㅎㅎ","['음식점', '간식', '제과', '베이커리']","['37.5809405633518', '126.968667464836']"
